O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
S : [ 1 à Ascot Corner (RIRE) <P1,L2> 
Y : [ 1 (RIRE) que c’est que vous faisiez là (dit en riant) <P1,L3> 
S : ben: je suis parti là/ avec euh: s- Bertrand pis Rieux [ 1 ostie (dit avec un petit sourire) (il abaisse les commissures de ses lèvres comme en signe de culpabilité et de fierté comme s’il avait eu du plaisir à repousser les limites) <P1,L4> 
Y : [ 1 en: pick-up avec son pick-up euh: [ 2 (inaud.) <P1,L5> 
S : [ 2 en Cavalier (.) [ 3 (RIRE) <P1,L6> 
Y : [ 3 crisse calvaire (inaud.) ben Rieux il est pas énervé avec ça ben ben <P1,L7> 
S : (il abaisse les commissures de ses lèvres en signe de culpabilité et de fierté comme s’il avait eu du plaisir à repousser les limites) [ 1 il faisait un flat là <P1,L8> 
O : [ 1 ben Rieux pis Bertrand les deux sont pas mal pas ben ben nerveux là/ <P1,L9> 
Y : Bertrand doit faire plus attention là <P1,L10> 
S : es-tu malade/ <P1,L11> 
Y : non/ <P1,L12> 
S : en revenant (dit avec un petit rire) on roulait cent soixante mon gars chacun leur bord ostie il tirait sur le voLANT (en agitant les bras de haut en bas comme s’il tirait sur un volant) [ 1 (RIRE) <P1,L13> 
Y : [ 1 (il lève le menton comme pour exprimer son étonnement) voyons toi <P1,L14> 
S : j’ai dit •ça me dérange pas de faire du clos mais en autant que je meurs° (il soulève sa main paume vers l’avant et pince les lèvres comme pour signifier que c’est la seule option envisageable pour lui) [ 1 {je suis je suis;(inaud.)} <P1,L15> 
Y : [ 1 (inaud.) tu disais que t’as parti euh: t’es allé à: (.) <p<ah non hier c’était vendredi>> (.) c’est jeudi d’abord que t’es allé à St-Jean là (2”) (sonnerie de téléphone) c’est (.) pour ça [ 2 (inaud.) <P1,L16> 
S : [ 2 <dim<OUIN ouin ouin\>> en hochant la tête affirmativement) <P1,L17> 
O : St-Jean c’est quoi la fille Playboy/ ça/ (0:00:42.0) <P1,L18> 
